datetime,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,windspeed_10m,winddirection_10m,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
2025-05-13 00:00:00+00:00,26.8,92,25.4,32.4,0.0,0.0,0.0,1003.2,2,9.7,242,26.8,15.4,182.0,7.3,7.1,75.0,0.46,16.0,0.0
2025-05-13 01:00:00+00:00,27.4,91,25.8,33.0,0.0,0.0,0.0,1003.4,13,11.0,236,27.8,16.2,222.0,8.0,8.3,77.0,0.47,19.0,0.05
2025-05-13 02:00:00+00:00,28.0,87,25.6,33.3,0.0,0.0,0.0,1004.0,19,12.7,235,33.1,18.3,277.0,8.8,10.0,81.0,0.46,22.0,0.4
2025-05-13 03:00:00+00:00,29.2,78,25.0,33.9,0.0,0.0,0.0,1004.8,28,13.5,243,37.3,19.7,307.0,8.9,11.6,87.0,0.46,26.0,1.5
2025-05-13 04:00:00+00:00,30.4,70,24.3,34.5,0.0,0.0,0.0,1005.5,35,14.4,244,40.4,20.9,289.0,7.6,13.2,97.0,0.48,29.0,3.45
2025-05-13 05:00:00+00:00,31.4,64,23.8,35.3,0.0,0.0,0.0,1005.6,68,15.6,247,44.0,22.4,247.0,5.6,14.7,108.0,0.5,32.0,5.65
2025-05-13 06:00:00+00:00,32.0,62,23.8,36.4,0.0,0.0,0.0,1005.4,75,16.3,247,46.6,23.3,216.0,4.1,15.6,116.0,0.52,36.0,7.65
2025-05-13 07:00:00+00:00,32.6,60,24.0,37.6,0.0,0.0,0.0,1004.8,54,16.5,243,49.8,23.9,209.0,3.4,15.4,119.0,0.53,43.0,8.9
2025-05-13 08:00:00+00:00,32.7,62,24.5,38.3,0.0,0.0,0.0,1004.1,55,16.9,241,52.6,23.9,213.0,3.2,14.6,118.0,0.52,50.0,8.85
2025-05-13 09:00:00+00:00,32.4,64,24.7,37.9,0.0,0.0,0.0,1003.2,19,17.3,240,55.4,23.7,223.0,3.4,13.8,115.0,0.5,54.0,7.4
2025-05-13 10:00:00+00:00,32.2,64,24.4,37.3,0.0,0.0,0.0,1002.5,5,16.0,240,53.7,22.9,241.0,4.0,13.2,110.0,0.47,51.0,5.2
2025-05-13 11:00:00+00:00,32.0,62,23.9,36.2,0.0,0.0,0.0,1002.5,1,15.1,245,48.0,21.6,266.0,5.1,12.7,102.0,0.44,43.0,2.85
2025-05-13 12:00:00+00:00,31.5,67,24.5,35.9,0.0,0.0,0.0,1002.5,22,13.8,246,47.4,20.5,285.0,7.1,14.8,97.0,0.45,45.0,1.1
2025-05-13 13:00:00+00:00,30.3,71,24.5,34.8,0.0,0.0,0.0,1002.7,5,12.8,239,42.8,20.4,294.0,9.9,15.4,88.0,0.45,38.0,0.25
2025-05-13 14:00:00+00:00,29.5,76,24.8,34.4,0.0,0.0,0.0,1002.7,1,11.5,230,38.4,20.1,298.0,13.8,16.1,76.0,0.44,29.0,0.0
2025-05-13 15:00:00+00:00,28.9,82,25.5,34.2,0.0,0.0,0.0,1003.1,10,12.2,209,34.1,19.8,296.0,16.9,16.2,66.0,0.43,21.0,0.0
2025-05-13 16:00:00+00:00,28.8,82,25.5,34.2,0.0,0.0,0.0,1003.8,12,11.4,207,31.5,19.8,287.0,18.4,15.2,61.0,0.43,17.0,0.0
2025-05-13 17:00:00+00:00,28.7,82,25.4,34.1,0.0,0.0,0.0,1004.3,21,10.9,232,31.0,19.8,272.0,19.0,13.5,59.0,0.45,15.0,0.0
2025-05-13 18:00:00+00:00,28.5,85,25.7,34.1,0.0,0.0,0.0,1004.1,1,10.7,233,30.5,20.0,254.0,18.9,11.9,57.0,0.45,14.0,0.0
2025-05-13 19:00:00+00:00,28.2,88,25.9,33.8,0.0,0.0,0.0,1003.8,0,11.8,244,29.9,20.0,230.0,17.8,10.5,56.0,0.46,12.0,0.0
2025-05-13 20:00:00+00:00,28.0,89,26.1,34.2,0.0,0.0,0.0,1003.6,2,8.4,251,29.1,19.7,202.0,15.9,9.3,56.0,0.47,11.0,0.0
2025-05-13 21:00:00+00:00,27.8,91,26.1,34.1,0.0,0.0,0.0,1003.3,3,7.6,265,28.5,18.9,184.0,14.0,8.4,57.0,0.48,11.0,0.0
2025-05-13 22:00:00+00:00,27.5,92,26.1,33.8,0.0,0.0,0.0,1003.1,0,7.4,267,29.0,18.5,176.0,11.9,8.0,59.0,0.47,12.0,0.0
2025-05-13 23:00:00+00:00,27.3,93,26.1,33.6,0.0,0.0,0.0,1003.1,0,8.0,252,30.9,18.6,178.0,9.8,7.9,62.0,0.46,14.0,0.0
2025-05-14 00:00:00+00:00,27.3,93,26.1,33.6,0.0,0.0,0.0,1003.3,0,7.5,260,23.6,16.0,201.0,7.8,8.0,65.0,0.44,8.0,0.0
2025-05-14 01:00:00+00:00,27.9,90,26.2,34.2,0.0,0.0,0.0,1003.2,0,8.5,270,26.4,16.7,267.0,9.3,9.1,65.0,0.43,11.0,0.05
2025-05-14 02:00:00+00:00,28.6,87,26.1,34.9,0.0,0.0,0.0,1003.8,0,7.6,263,31.2,18.5,354.0,11.2,10.8,67.0,0.42,16.0,0.45
2025-05-14 03:00:00+00:00,30.1,77,25.7,35.9,0.0,0.0,0.0,1004.2,0,9.4,258,35.5,20.0,404.0,12.0,12.9,74.0,0.42,22.0,1.65
2025-05-14 04:00:00+00:00,31.6,69,25.2,37.0,0.0,0.0,0.0,1004.7,0,9.5,256,40.2,21.7,379.0,10.5,16.0,92.0,0.42,31.0,3.8
2025-05-14 05:00:00+00:00,33.0,62,24.6,38.5,0.0,0.0,0.0,1004.7,0,10.2,244,48.3,24.2,317.0,7.9,19.6,116.0,0.42,43.0,6.4
2025-05-14 06:00:00+00:00,33.8,59,24.7,40.0,0.0,0.0,0.0,1004.6,0,12.0,234,58.9,26.9,270.0,5.8,21.5,133.0,0.43,52.0,8.55
2025-05-14 07:00:00+00:00,34.3,58,24.9,41.0,0.0,0.0,0.0,1004.2,0,13.4,230,63.6,27.6,257.0,4.7,20.5,137.0,0.44,58.0,9.75
2025-05-14 08:00:00+00:00,34.5,57,24.6,40.8,0.0,0.0,0.0,1003.7,0,14.9,223,62.6,26.5,259.0,4.0,17.9,133.0,0.43,62.0,9.45
2025-05-14 09:00:00+00:00,34.1,57,24.3,40.0,0.0,0.0,0.0,1002.8,0,15.5,224,61.9,25.3,269.0,4.1,15.7,127.0,0.42,64.0,7.85
2025-05-14 10:00:00+00:00,34.0,56,24.1,39.9,0.0,0.0,0.0,1002.6,0,11.6,228,63.8,25.0,287.0,4.7,14.5,120.0,0.41,66.0,5.4
2025-05-14 11:00:00+00:00,33.5,59,24.3,38.1,0.0,0.0,0.0,1001.9,0,14.7,219,62.2,24.6,312.0,6.0,13.7,112.0,0.41,66.0,2.95
2025-05-14 12:00:00+00:00,32.5,65,25.0,37.3,0.0,0.0,0.0,1001.9,1,13.0,221,75.0,27.6,337.0,9.0,15.4,101.0,0.43,85.0,1.15
2025-05-14 13:00:00+00:00,30.8,69,24.5,35.3,0.0,0.0,0.0,1002.2,0,13.3,205,67.1,27.0,365.0,14.3,15.1,87.0,0.44,71.0,0.25
2025-05-14 14:00:00+00:00,30.0,76,25.3,35.1,0.0,0.0,0.0,1002.6,0,12.6,202,56.0,25.4,394.0,21.5,14.7,68.0,0.46,51.0,0.0
2025-05-14 15:00:00+00:00,29.5,80,25.7,35.0,0.0,0.0,0.0,1003.2,0,11.5,188,46.4,24.5,403.0,26.4,14.1,54.0,0.47,35.0,0.0
2025-05-14 16:00:00+00:00,29.4,81,25.8,34.8,0.0,0.0,0.0,1003.6,0,12.8,204,41.0,23.3,381.0,26.8,13.1,50.0,0.46,28.0,0.0
2025-05-14 17:00:00+00:00,29.1,83,25.9,35.1,0.0,0.0,0.0,1004.2,4,9.2,223,38.5,22.1,339.0,24.8,11.8,50.0,0.45,24.0,0.0
2025-05-14 18:00:00+00:00,28.9,85,26.2,35.3,0.0,0.0,0.0,1004.6,0,7.3,205,36.6,21.5,299.0,22.9,10.8,51.0,0.44,22.0,0.0
